addressText,price,href,created,broadband
"Lot 75A Fairburn Road, Kaitaia, Far North",Price by negotiation,/a/property/residential/sale/northland/far-north/kaitaia/listing/4950782813?rsqid=2053b6c011944f74b2cb9ffa5219648c-001,2024-10-07T07:38:32.186Z,"ADSL, VDSL, Wireless"
"662 Manuka Terrace, Twizel, Mackenzie","Enquiries over $470,000",/a/property/residential/sale/canterbury/mackenzie/twizel/listing/4950169624?rsqid=2053b6c011944f74b2cb9ffa5219648c-001,2024-10-07T07:38:32.347Z,Wireless
"149b Torehape Road West, Kaihere, Hauraki","Enquiries over $980,000",property/new-homes/house-land/waikato/hauraki/kaihere/listing/4950048819?rsqid=2053b6c011944f74b2cb9ffa5219648c-001,2024-10-07T07:38:32.387Z,None
"21 Smalley Road, Glenbrook, Franklin","Auction on 23 Oct, 9:00am",/a/property/residential/sale/auckland/franklin/glenbrook/listing/4948809447?rsqid=2053b6c011944f74b2cb9ffa5219648c-001,2024-10-07T07:38:32.514Z,"ADSL, VDSL, Wireless"
"Lot 1 / 920 - 930 Coatesville Riverhead Highway, Riverhead, Rodney","Asking price $1,495,000",property/new-homes/house-land/auckland/rodney/riverhead/listing/4948366672?rsqid=2053b6c011944f74b2cb9ffa5219648c-001,2024-10-07T07:38:32.538Z,None
"Lot 4 / 438 Komokoriki Hill Road, Makarau, Rodney","Asking price $1,190,000",property/new-homes/house-land/auckland/rodney/makarau/listing/4948333853?rsqid=2053b6c011944f74b2cb9ffa5219648c-001,2024-10-07T07:38:32.563Z,None
"Lot 1 / 438 Komokoriki Hill Road, Makarau, Rodney","Asking price $1,100,000",property/new-homes/house-land/auckland/rodney/makarau/listing/4948321393?rsqid=2053b6c011944f74b2cb9ffa5219648c-001,2024-10-07T07:38:32.591Z,None
"156B Silverstream Falls ROW, Whitianga, Thames-Coromandel",Price by negotiation,property/residential/sale/waikato/thames-coromandel/whitianga/listing/4946348056?rsqid=2053b6c011944f74b2cb9ffa5219648c-001,2024-10-07T07:38:32.611Z,None
"1445a Church Road, Kaingaroa, Far North","Asking price $495,000",/a/property/residential/sale/northland/far-north/kaingaroa/listing/4946340705?rsqid=2053b6c011944f74b2cb9ffa5219648c-001,2024-10-07T07:38:32.632Z,"ADSL, VDSL, Wireless"
"14 Mitchell Road, Wairoa, Wairoa","Auction on 1 Nov, 12:00pm",/a/property/residential/sale/hawkes-bay/wairoa/wairoa/listing/4945121656?rsqid=2053b6c011944f74b2cb9ffa5219648c-001,2024-10-07T07:38:32.652Z,"Fibre, ADSL, VDSL, Wireless"
"125 Roxburgh Street, Heriot, Clutha",Price by negotiation,/a/property/residential/sale/otago/clutha/heriot/listing/4944977571?rsqid=2053b6c011944f74b2cb9ffa5219648c-001,2024-10-07T07:38:32.693Z,"ADSL, VDSL, Wireless"
