addressText,price,href,created,broadband
"2264 State Highway 4, Owhango, Ruapehu",Deadline sale by 29 Oct,property/residential/sale/manawatu-whanganui/ruapehu/owhango/listing/4955300354?rsqid=198423f9ad3f4fe586d7133df08ff2a9-001,2024-10-07T10:08:40.646Z,None
"188 Victoria Street, Dargaville, Kaipara","Asking price $495,000",property/residential/sale/northland/kaipara/dargaville/listing/4955055696?rsqid=6d9a7a1cb817409387433b588e2dc923-001,2024-10-07T10:09:35.167Z,None
"17 Pickett Place, Morrinsville, Matamata-Piako",Price by negotiation,property/residential/sale/waikato/matamata-piako/morrinsville/listing/4955051693?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.598Z,None
"73 Silverstream Road, Horahora, Whangarei",Deadline sale by 1 Nov,/a/property/residential/sale/northland/whangarei/horahora/listing/4954752356?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.643Z,None
"86 Stout Street, Shannon, Horowhenua","Auction on 31 Oct, 12:00pm",/a/property/residential/sale/manawatu-whanganui/horowhenua/shannon/listing/4954727917?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.662Z,None
"90 Totara Street, Taumarunui, Ruapehu","Enquiries over $359,000",/a/property/residential/sale/manawatu-whanganui/ruapehu/taumarunui/listing/4952697771?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.682Z,"Fibre, ADSL, VDSL, Wireless"
"Lot 75A Fairburn Road, Kaitaia, Far North",Price by negotiation,/a/property/residential/sale/northland/far-north/kaitaia/listing/4950782813?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.701Z,"ADSL, VDSL, Wireless"
"5 Raukawa Grove, Waiuku, Franklin","Auction on 23 Oct, 9:00am",/a/property/residential/sale/auckland/franklin/waiuku/listing/4950722508?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.721Z,"Fibre, ADSL, Wireless"
"50 Plunket Street, Dargaville, Kaipara",Deadline sale by 11 Oct,property/residential/sale/northland/kaipara/dargaville/listing/4950300567?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.740Z,None
"15 Walter Street, Takapau, Central Hawke's Bay","Enquiries over $330,000",/a/property/residential/sale/hawkes-bay/central-hawkes-bay/takapau/listing/4950269070?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.760Z,"Fibre, ADSL, VDSL, Wireless"
"122 Arapuni Street, Putaruru, South Waikato","For sale by tender,  16 Oct",property/residential/sale/waikato/south-waikato/putaruru/listing/4950125910?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.781Z,None
"90 North Road, Kaitaia, Far North","Auction on 5 Nov, 12:00pm",/a/property/residential/sale/northland/far-north/kaitaia/listing/4948785850?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.800Z,"Fibre, ADSL, VDSL, Wireless"
"36 Leslie Street, Waiau, Hurunui","Asking price $430,000",property/residential/sale/canterbury/hurunui/waiau/listing/4948713752?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.821Z,None
"79 Eden Street, Oamaru, Waitaki","Enquiries over $479,000",/a/property/residential/sale/otago/waitaki/oamaru/listing/4948710076?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.841Z,"Fibre, ADSL, VDSL, Wireless"
"4 Croft Place, Culverden, Hurunui",Deadline sale by 24 Oct,/a/property/residential/sale/canterbury/hurunui/culverden/listing/4948640135?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.860Z,"Fibre, ADSL, VDSL, Wireless"
"32 Hatuma Road, Waipukurau, Central Hawke's Bay","Enquiries over $495,000",/a/property/residential/sale/hawkes-bay/central-hawkes-bay/waipukurau/listing/4948632518?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.880Z,"ADSL, Wireless"
"64 Broughton Street, Gore, Gore","Asking price $429,000",property/residential/sale/southland/gore/gore/listing/4948542276?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.901Z,None
"38 Seaview Terrace, Kew, Dunedin",Deadline sale by 23 Oct,/a/property/residential/sale/otago/dunedin/kew/listing/4948517380?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.922Z,"Fibre, ADSL, VDSL, Wireless"
"29 Church Street, Ashburton, Ashburton","Enquiries over $429,000",/a/property/residential/sale/canterbury/ashburton/ashburton/listing/4948427770?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.941Z,"Fibre, ADSL, Wireless"
"1941 State Highway 30, Whakatane, Whakatane","Asking price $435,000",property/residential/sale/bay-of-plenty/whakatane/whakatane/listing/4948368900?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.961Z,None
"28 McInnes Avenue, Kamo, Whangarei","Auction on 24 Oct, 11:00am",/a/property/residential/sale/northland/whangarei/kamo/listing/4948357659?rsqid=1fd1d0bfa5434bc58d5495f8e58af15c-001,2024-10-07T10:10:11.981Z,"Fibre, ADSL, VDSL, Wireless"
